dataset,horizon_days,threshold,feature,n,n_pos,point_biserial_r,p_value,p_adj_fdr,significant_fdr_10pct
B_coinbase_multiyear,30,5,btc_ret_90d,28612,38,0.02611945222792819,9.930209266190017e-06,0.00011645427230350111,True
B_coinbase_multiyear,30,5,narr_l2,28621,38,0.020961452166894205,0.00039047488928829765,0.003052803679890327,True
B_coinbase_multiyear,30,5,narr_depin,28621,38,0.019875983870134565,0.0007716937679010482,0.005688485489099156,True
B_coinbase_multiyear,30,5,ret_7d,28621,38,0.019080537498803257,0.001245940571283169,0.0084318980127738,True
B_coinbase_multiyear,30,5,price_above_ma7,28621,38,0.018522963532113683,0.001725589090241578,0.011130049632058178,True
B_coinbase_multiyear,30,5,ret_14d,28621,38,0.017673215067487456,0.0027896660444703173,0.01635758726075777,True
B_coinbase_multiyear,30,5,ret_3d,28621,38,0.01694499791137852,0.004146558873179655,0.022287753943340646,True
B_coinbase_multiyear,30,5,ret_1d,28621,38,0.016426294106023726,0.005452246478188036,0.027051530603317563,True
B_coinbase_multiyear,30,5,narr_l1,28621,38,0.016462844967396806,0.005349327168700499,0.027051530603317563,True
B_coinbase_multiyear,30,5,vol_7d,28621,38,0.01588085806785365,0.007215423852696948,0.03324248846421094,True
B_coinbase_multiyear,30,5,narr_gaming,28621,38,0.015390930609103695,0.009218619885532395,0.04100696431840272,True
B_coinbase_multiyear,30,5,coin_age_days,4885,9,-0.0354231201795223,0.013287713412037378,0.054416350163581644,True
B_coinbase_multiyear,30,5,price_above_ma30,28621,38,0.014396038804853826,0.014871037482367875,0.05902657954539864,True
B_coinbase_multiyear,30,5,ret_2d,28621,38,0.01068552920682512,0.07064963393822876,0.1959957586673443,False
B_coinbase_multiyear,30,5,ret_30d,28621,38,0.009733071210189667,0.09964379249765346,0.2570809846439459,False
B_coinbase_multiyear,30,5,narr_memecoin,28621,38,-0.009361475273795545,0.11325841254470291,0.2799089113821487,False
B_coinbase_multiyear,30,5,dist_from_high_90d,26770,31,0.008011996328443533,0.18990985503659727,0.3951350209632427,False
B_coinbase_multiyear,30,5,ma7_above_ma30,28621,38,0.007592850120985386,0.19896663773585835,0.40740787726866234,False
B_coinbase_multiyear,30,5,vol_30d,28621,38,0.007480438283137039,0.2056979902334653,0.41404346735935355,False
B_coinbase_multiyear,30,5,dist_from_high_30d,28621,38,0.007347907423051791,0.2138447961365968,0.4179693742669846,False
B_coinbase_multiyear,30,5,vol_rel_30d,28621,38,0.005776243995382331,0.32848225657362073,0.5804686451780421,False
B_coinbase_multiyear,30,5,narr_ai,28621,38,-0.0033634394965361943,0.5693596829338486,0.7690827130729474,False
B_coinbase_multiyear,30,5,vol_rel_7d,28621,38,0.003251606207134026,0.5822673961909697,0.779216919276162,False
